src,dst,weight
0,0,4894
0,39,1
0,334,1
0,387,251
0,491,1
0,566,1
0,809,41
0,812,2
0,813,1
0,1667,9
0,1668,6
0,2071,5
0,2111,6
0,2112,1
0,2117,3
0,2118,3
0,2133,4
0,2140,1
0,2152,1
0,2256,59
0,2645,9
0,2972,12
0,2973,43
0,3280,1
0,3338,10
0,3341,41
0,3416,1
0,4218,7
2,2,179
2,94,1
2,287,15
2,305,1
2,534,3
2,551,1
2,1222,1
2,1832,1
2,3743,1
2,3746,2
2,3773,6
3,3,4
3,5,47
4,4,516
4,53,11
4,55,3
4,79,80
4,80,3
4,324,1
4,334,1
4,335,2
4,480,52
4,2172,1
4,2173,2
4,3747,3
4,4200,59
5,0,1
5,5,908
5,7,1
5,89,81
5,372,3
5,726,1
5,727,2
5,986,10
5,1416,1
5,1418,3
5,1419,1
5,1451,1
5,1458,1
5,1976,1
5,1978,4
5,2606,2
5,3210,11
5,3211,1
5,3228,4
5,4060,13
6,0,1
6,6,146
6,8,1
6,372,4
6,373,2
6,726,1
6,986,5
6,1406,1
6,1407,1
6,1418,1
6,1419,3
6,1456,1
6,1458,1
6,2060,1
6,3210,14
6,3257,1
6,4060,9
6,4135,1
7,0,2
7,4,1
7,7,1465
7,79,3
7,320,1
7,334,1
7,335,94
7,471,4
7,479,39
7,480,10
7,487,1
7,568,4
7,580,3
7,584,3
7,601,1
7,602,3
7,603,2
7,607,12
7,608,3
7,610,2
7,611,2
7,612,1
7,615,1
7,618,2
7,622,1
7,623,4
7,820,5
7,862,1
7,1387,2
7,1395,1
7,1671,1
7,1672,1
7,1975,1
7,2171,1
7,2186,1
7,2193,9
7,2208,1
7,2836,9
7,3060,15
7,3374,3
7,3375,6
7,3376,9
7,3377,4
7,3752,11
7,3825,1
8,8,13
8,2051,1
8,3210,116
8,3228,1
9,0,3
9,9,321
9,1680,81
9,2403,1
9,2404,5
9,2518,4
9,2519,3
9,2526,2
9,2538,1
9,2540,1
9,3191,1
9,3196,1
9,4064,2
10,9,2
10,10,393
10,501,1
10,1679,23
10,1680,1
10,1912,1
10,1931,4
10,1935,1
10,1936,1
10,2404,1
10,2526,2
10,2537,1
10,2539,1
10,2688,7
10,2689,6
10,3823,4
11,11,474
11,1680,12
11,1912,2
11,2518,5
11,2519,4
11,2538,1
11,2539,7
11,2540,8
11,2689,2
11,3194,104
12,0,2
12,9,2
12,10,1
12,12,359
12,375,1
12,500,1
12,1912,1
12,2403,4
12,2404,6
12,2518,7
12,2519,5
12,2525,7
12,2526,14
12,2539,3
12,2540,3
12,3191,3
12,3194,23
12,3196,21
12,4064,7
13,13,278
13,500,2
13,501,4
13,2403,1
13,2407,1
13,2410,1
13,2526,1
13,3193,150
13,3196,1
13,4065,2
13,4066,1
14,0,1
14,13,1
14,14,841
14,16,1
14,81,1
14,83,22
14,85,5
14,501,3
14,1683,104
14,1686,60
14,1736,1
14,2403,1
14,2407,1
14,2413,1
14,2476,2
14,2525,1
14,2735,1
14,2941,2
14,2942,1
14,3025,1
14,3197,1
14,4072,2
14,4329,1
15,0,5
15,15,7840
15,21,189
15,59,4
15,61,1
15,75,521
15,83,4
15,85,8
15,164,1
15,356,1
15,444,57
15,494,2
15,868,9
15,869,13
15,1630,1
15,1804,3
15,1805,1
15,1811,1
15,1814,6
15,1815,42
15,1824,1
15,2403,1
15,2431,1
15,2476,1
15,2525,1
15,2812,4
15,2816,214
15,2817,1
15,2818,27
15,2819,76
15,2821,27
15,2941,8
15,2942,1
15,3025,1
15,3351,1
15,3404,1
15,3405,3
15,3924,1
15,4203,2
16,0,5
16,15,2
16,16,7514
16,75,7
16,85,14
16,164,4
16,437,2
16,444,9
16,474,41
16,476,5
16,1814,2
16,1815,11
16,1824,1
16,1825,1
16,2413,3
16,2417,13
16,2418,38
16,2426,1
16,2500,1
16,2525,794
16,2812,245
16,2816,11
16,2818,1
16,2819,8
16,2821,2
16,2824,1
16,2825,1
16,2941,4
16,2942,1
16,3404,1
16,3923,1
16,3999,1
17,17,170
17,75,45
17,440,6
17,477,8
17,693,10
17,1681,84
17,3296,2
17,3977,3
17,3999,5
18,0,1
18,13,127
18,15,8
18,18,1737
18,81,6
18,83,161
18,85,7
18,164,2
18,501,15
18,713,1
18,1736,3
18,1804,3
18,1805,1
18,1814,2
18,1815,1
18,1913,3
18,2407,2
18,2476,23
18,2498,1
18,2735,1
18,2941,3
18,3025,30
18,3026,5
18,3690,1
18,4072,2
19,19,12
19,693,48
20,16,253
20,20,33
21,0,1
21,21,60
21,75,242
21,2439,1
23,0,2
23,23,1125
23,28,1
23,68,4
23,70,7
23,71,4
23,72,5
23,459,1
23,470,4
23,1650,6
23,1653,5
23,1656,33
23,1834,5
23,1835,1
23,1836,2
23,2807,4
23,2845,1
23,2846,1
23,2937,1
23,2939,2
23,3140,15
23,3144,5
23,3821,51
23,4248,2
23,4249,30
24,17,73
24,24,1728
24,75,1
24,1653,1
24,1681,229
24,1834,3
24,1836,1
24,1838,3
24,1839,5
24,2449,1
24,3875,1
24,4000,11
25,24,3
25,25,19
25,70,1
25,75,1
25,1653,1
25,1844,1
25,4248,1
26,26,77
26,27,4
26,75,2
26,2456,9
26,3142,16
26,3144,1
26,3760,1
27,23,1
27,26,1
27,27,145
27,75,15
27,472,1
27,477,1
27,1653,1
27,1836,1
27,2336,1
27,2337,1
27,3821,3
27,4248,1
27,4249,4
28,23,1
28,25,2
28,28,216
28,75,2
28,477,3
28,1653,1
28,2336,3
28,2339,1
28,2582,1
28,3141,14
28,4249,1
29,29,256
29,394,3
29,434,4
29,498,3
29,2340,1
29,2343,1
29,2806,1
29,2808,2
29,2851,3
29,3139,4
29,3288,1
31,31,740
31,1622,1
31,3282,186
36,0,3
36,36,733
36,39,18
36,40,1
36,74,1
36,109,1
36,113,6
36,217,2
36,218,1
36,219,2
36,226,3
36,227,2
36,230,1
36,808,1
36,1663,1
36,1764,2
36,1765,1
36,1766,4
36,1767,3
36,1768,7
36,1769,3
36,2250,3
36,2482,1
36,2719,177
36,2730,1
36,2838,1
36,3329,1
38,38,111
38,3282,78
39,0,2
39,31,6
39,38,49
39,39,1299
39,40,4
39,109,5
39,110,4
39,112,1
39,113,63
39,216,1
39,230,1
39,467,15
39,808,2
39,812,1
39,1622,1
39,1623,3
39,1661,2
39,1663,3
39,1682,1
39,1761,4
39,1765,1
39,1766,1
39,1769,1
39,2250,1
39,2256,14
39,2720,1
39,2722,1
39,2838,15
39,3280,13
39,3281,1
39,3341,1
39,3759,1
39,4218,5
40,0,2
40,40,1191
40,74,5
40,109,6
40,110,1
40,113,2
40,216,2
40,218,1
40,219,1
40,220,1
40,226,1
40,227,3
40,230,1
40,1764,4
40,1765,2
40,1769,1
40,2239,2
40,2250,9
40,2482,1
40,2726,85
40,2729,2
40,2730,2
40,3135,1
40,3397,1
40,3759,3
41,0,2
41,41,1125
41,42,137
41,45,3
41,47,7
41,74,4
41,230,3
41,379,10
41,388,26
41,389,2
41,390,1
41,497,65
41,525,8
41,552,1
41,1701,3
41,1702,2
41,1777,1
41,1780,1
41,1782,1
41,1783,1
41,1792,1
41,1794,2
41,1942,1
41,1961,1
41,1974,1
41,2482,24
41,2725,59
41,2726,2
41,2854,2
41,3250,7
41,3251,1
41,3310,3
41,3329,3
41,3330,5
41,3331,1
41,3396,2
41,3759,2
42,41,200
42,42,1635
42,47,2
42,230,3
42,379,5
42,388,42
42,389,11
42,497,24
42,525,3
42,1705,1
42,1774,1
42,1775,1
42,1779,1
42,1780,1
42,1784,9
42,1785,3
42,1786,1
42,1787,1
42,1794,1
42,1947,1
42,1948,2
42,1953,2
42,1954,4
42,1957,1
42,1964,1
42,1970,2
42,2482,4
42,2725,5
42,2854,2
42,3250,3
42,3330,3
42,3331,2
42,3382,1
42,3759,2
42,3808,1
44,0,2
44,44,541
44,127,1
44,182,7
44,183,1
44,206,14
44,399,1
44,400,1
44,462,3
44,748,7
44,749,13
44,750,2
44,1632,1
44,1633,4
44,2072,2
44,2074,1
44,2077,2
44,2161,1
44,2162,2
44,2972,27
44,2973,25
44,2974,53
44,3418,4
44,3419,1
44,4218,1
45,0,8
45,40,3
45,41,2
45,42,3
45,45,6963
45,47,1
45,74,37
45,115,1
45,221,1
45,379,1
45,384,12
45,388,1
45,389,1
45,390,1
45,396,1
45,495,2
45,497,1
45,552,2
45,739,1
45,1701,2
45,1702,1
45,1705,12
45,1706,7
45,1707,1
45,1764,1
45,1773,1
45,1776,2
45,1777,2
45,1780,2
45,1781,1
45,1790,1
45,1794,2
45,1941,1
45,1942,3
45,1943,3
45,1955,1
45,1959,28
45,1960,2
45,1961,7
45,1962,3
45,1969,1
45,1973,1
45,2482,105
45,2725,110
45,2726,7
45,2885,1
45,2888,6
45,3250,2
45,3251,8
45,3309,1
45,3329,11
45,3330,440
45,3331,1
45,3332,3
45,3334,1
45,3382,1
45,3396,1
45,3397,2
45,3743,1
45,3808,4
46,0,6
46,46,823
46,123,3
46,125,32
46,126,2
46,127,2
46,128,2
46,180,1
46,188,8
46,197,33
46,237,2
46,270,1
46,528,1
46,553,10
46,731,726
46,3226,24
46,3322,1
46,3333,8
46,3505,3
46,3511,193
46,3764,1
47,0,29
47,45,13
47,47,8140
47,114,1
47,115,20
47,116,6
47,117,6
47,118,6
47,119,5
47,120,3
47,121,3
47,122,3
47,190,5
47,191,3
47,303,1
47,360,16
47,376,1
47,377,26
47,378,1
47,379,4
47,380,2
47,381,3
47,382,6
47,383,3
47,384,48
47,388,5
47,389,1
47,390,32
47,396,3
47,497,15
47,525,5
47,526,2
47,537,4
47,538,7
47,546,1
47,547,5
47,552,35
47,553,21
47,554,2
47,555,2
47,559,16
47,560,4
47,739,56
47,810,915
47,1160,5
47,1703,1
47,1704,21
47,1705,37
47,1707,11
47,1716,1
47,1772,4
47,1773,2
47,1776,34
47,1777,17
47,1943,3
47,1944,3
47,1947,1
47,1948,3
47,1969,5
47,2110,22
47,2159,1
47,2854,3
47,2855,1
47,2856,2
47,2862,148
47,2885,20
47,2886,2
47,2887,1
47,2888,5
47,2977,1
47,3216,3
47,3226,5
47,3250,55
47,3251,16
47,3317,4
47,3334,4
47,3795,1
47,3796,3
47,3808,7
47,4287,7
47,4288,3
48,0,1
48,48,4773
48,49,876
48,50,18
48,62,1
48,312,1
48,337,1
48,344,1
48,494,1
48,512,5
48,704,11
48,705,5
48,709,1
48,961,4
48,962,3
48,988,1
48,989,1
48,990,3
48,991,3
48,1030,1
48,1031,3
48,1039,1
48,1040,1
48,1049,1
48,1076,1
48,1095,2
48,1105,3
48,1107,1
48,1109,1
48,1120,1
48,2434,1
48,2897,9
48,2898,3
48,2997,36
48,3235,4
48,3239,1
48,3897,67
48,4196,11
49,49,742
49,50,859
49,51,10
49,349,5
49,350,2
49,709,6
49,710,1
49,990,1
49,991,2
50,50,805
50,51,867
50,1160,35
50,2868,1
50,2873,16
51,51,1170
51,359,1
51,1160,812
51,2872,1
51,2873,119
53,0,7
53,48,7
53,53,10612
53,54,3
53,55,1
53,79,1
53,138,7
53,139,10
53,140,7
53,141,1
53,284,3
53,292,4
53,295,1
53,312,1
53,325,1
53,327,1
53,332,3
53,343,2
53,344,4
53,352,7
53,471,1
53,479,1
53,480,1
53,510,1
53,511,2
53,512,14
53,513,1
53,514,32
53,515,29
53,610,3
53,611,2
53,614,1
53,615,1
53,616,2
53,626,1
53,627,2
53,628,1
53,631,8
53,646,2
53,647,1
53,1037,1
53,1038,3
53,1043,1
53,1072,2
53,1073,7
53,1074,1
53,2172,3
53,2173,1
53,2180,1
53,2182,6
53,2560,16
53,3235,941
53,3487,4
53,3744,2
53,3747,21
53,3789,2
53,3790,2
53,3889,31
53,3893,3
53,3965,4
53,3966,29
53,3967,1
53,3968,3
54,48,21
54,54,62
54,62,1
54,312,1
54,327,16
54,337,1
54,494,1
54,3235,4
54,3236,1
55,0,35
55,4,1
55,7,2
55,48,17
55,53,10
55,55,18713
55,56,29
55,57,1
55,79,1
55,138,56
55,139,115
55,140,7
55,141,2
55,238,2
55,284,35
55,292,10
55,295,7
55,296,1
55,325,20
55,326,17
55,332,44
55,334,4
55,335,1
55,343,2
55,344,1
55,352,20
55,353,1
55,471,431
55,480,1
55,494,9
55,511,12
55,512,11
55,513,6
55,514,47
55,515,33
55,600,1
55,610,5
55,611,8
55,614,2
55,615,2
55,616,3
55,617,3
55,621,1
55,627,5
55,628,6
55,629,1
55,631,35
55,632,8
55,633,1
55,646,3
55,649,1
55,650,2
55,651,1
55,654,1
55,963,1
55,977,2
55,979,3
55,980,1
55,1015,1
55,1038,2
55,1072,1
55,1073,3
55,1104,3
55,1105,2
55,1107,1
55,1124,1
55,1126,1
55,1132,1
55,1347,2
55,1390,1
55,1394,1
55,1395,1
55,1400,2
55,1401,16
55,1940,1
55,2172,8
55,2173,13
55,2180,2
55,2182,14
55,2560,37
55,3208,104
55,3357,1
55,3436,3
55,3437,1
55,3487,7
55,3515,12
55,3744,16
55,3747,90
55,3789,85
55,3790,110
55,3888,3
55,3889,91
55,3893,12
55,3897,2
55,3965,22
55,3966,43
56,56,73
56,3789,43
57,0,1
57,57,908
57,352,1
57,514,2
57,515,1
57,1124,1
57,1125,368
57,1143,1
57,3889,1
57,3893,4
58,0,2
58,15,24
58,16,145
58,58,731
58,356,1
58,444,2
58,474,1
58,1681,70
58,2812,5
58,2816,4
58,2819,1
59,0,4
59,15,50
59,16,2
59,17,60
59,19,7
59,21,37
59,24,3
59,59,3033
59,61,35
59,62,1
59,66,2
59,75,74
59,352,1
59,356,6
59,437,1
59,440,1
59,474,1
59,477,18
59,693,12
59,868,30
59,869,27
59,1683,5
59,1798,1
59,1799,4
59,1800,4
59,1810,1
59,1811,1
59,1813,1
59,1814,32
59,1815,29
59,1816,2
59,1821,1
59,1825,2
59,1826,9
59,2422,3
59,2423,1
59,2431,9
59,2439,1
59,2440,1
59,2516,37
59,2580,1
59,2582,1
59,2583,1
59,2816,1
59,3404,3
59,3406,1
59,3894,1
59,3924,8
59,3925,3
59,3977,5
59,3978,14
59,4194,1
61,0,3
61,15,1
61,55,82
61,59,13
61,61,2978
61,312,450
61,352,16
61,356,5
61,436,7
61,444,7
61,868,4
61,869,3
61,1036,2
61,1714,3
61,1797,7
61,1798,3
61,1822,2
61,1823,2
61,2422,4
61,2423,1
61,2516,10
61,2582,40
61,2812,1
61,2813,2
61,2821,3
61,3002,1
61,3236,727
61,3404,5
61,3894,1
61,4194,2
62,48,3
62,55,589
62,56,1
62,61,10
62,62,2586
62,312,1
62,321,1
62,337,1
62,343,7
62,344,1
62,494,129
62,509,1
62,511,25
62,512,33
62,1030,1
62,1052,1
62,1073,4
62,1075,1
62,1109,3
62,1111,1
62,1128,1
62,1129,1
62,2998,3
62,3235,8
62,3789,1
62,3790,2
62,3897,1
62,4193,1
63,24,7
63,63,703
63,75,1
63,477,25
63,689,1
63,1653,7
63,1656,4
63,1657,9
63,1659,3
63,1660,3
63,1834,6
63,1835,3
63,1836,2
63,1838,7
63,1839,4
63,3301,1
63,3760,1
63,3821,4
63,3875,2
64,61,1
64,65,10
64,312,1
64,2580,2
64,2584,27
64,3236,1
65,15,2
65,59,24
65,65,27
65,436,23
65,437,12
65,474,4
65,868,2
65,869,2
65,1814,1
65,2812,35
65,2813,33
65,2817,7
65,2821,1
65,2822,1
65,3404,10
65,3790,1
66,59,2
66,61,4
66,62,1
66,64,4
66,66,301
66,312,6
66,436,4
66,437,2
66,474,1
66,2516,66
66,2580,106
66,2581,54
66,2582,11
66,2584,21
66,2812,2
66,2813,9
66,2817,1
66,3236,2
66,3404,2
68,0,4
68,23,5
68,24,9
68,68,1022
68,71,33
68,75,121
68,472,10
68,477,123
68,692,1
68,693,1
68,1650,8
68,1653,1
68,1656,19
68,1835,1
68,1836,1
68,2336,2
68,2337,2
68,2339,38
68,2846,1
68,3140,432
68,3821,34
68,4248,3
68,4249,2
69,0,3
69,23,8
69,24,7
69,63,2
69,69,2611
69,70,36
69,72,2
69,75,102
69,472,2
69,477,55
69,1052,1
69,1650,1
69,1653,1
69,1656,5
69,1660,1
69,1834,1
69,2336,9
69,2337,4
69,2339,8
69,2805,1
69,2846,1
69,3144,896
69,3821,4
69,4248,3
69,4249,17
70,0,10
70,68,1
70,70,11458
70,75,2
70,441,10
70,442,7
70,445,1
70,450,54
70,451,7
70,453,6
70,454,12
70,459,46
70,460,32
70,484,53
70,692,29
70,1639,512
70,1669,1
70,1841,4
70,1844,3
70,1845,2
70,1847,1
70,1848,41
70,1865,2
70,2940,43
70,3003,139
70,3006,476
70,3012,4
70,3400,1
70,3401,1
70,3756,2
70,3758,1
70,3760,203
70,4250,1
71,0,2
71,27,1
71,28,2
71,68,3
71,69,11
71,71,4204
71,72,5
71,73,314
71,689,1
71,1642,1
71,1650,7
71,1651,45
71,1652,22
71,1653,4
71,1654,23
71,1655,11
71,1656,10
71,1660,1
71,2283,1
71,2284,4
71,2304,1
71,2339,1
71,2938,1
71,3144,4
71,3301,3
71,3423,10
71,3483,3
71,3484,3
71,3485,4
71,3486,1
71,3821,12
71,4005,11
71,4007,1
71,4243,1
72,0,3
72,69,63
72,72,6085
72,1642,7
72,1651,3
72,1653,114
72,1654,2
72,1655,1
72,1656,16
72,2284,6
72,2302,4
72,2303,2
72,2591,2
72,2937,6
72,2939,776
72,3423,54
72,3483,1
72,3821,28
72,4003,2
72,4005,9
72,4008,1
73,0,6
73,72,32
73,73,369
73,134,31
73,689,1
73,1642,4
73,1651,7
73,1654,1
73,1655,4
73,1656,47
73,1658,1
73,2284,38
73,2303,1
73,2781,1
73,3302,64
73,3423,70
73,3483,5
73,3484,1
73,3821,59
73,4003,2
73,4005,50
73,4007,4
73,4010,2
73,4239,4
74,0,9
74,36,17
74,40,21
74,41,3
74,42,3
74,45,4
74,47,11
74,74,6039
74,112,12
74,119,1
74,216,1
74,217,3
74,218,3
74,219,12
74,220,3
74,221,3
74,222,31
74,223,14
74,226,12
74,227,3
74,230,25
74,384,11
74,387,3
74,495,6
74,497,4
74,498,8
74,526,1
74,547,1
74,732,1
74,810,1
74,1701,1
74,1705,1
74,1707,4
74,1764,5
74,1765,10
74,1767,1
74,1768,2
74,1769,3
74,1942,1
74,1960,1
74,2159,1
74,2250,2
74,2251,1
74,2252,11
74,2482,8
74,2725,2
74,2726,3
74,2727,3
74,2728,1
74,2729,13
74,2730,7
74,2887,2
74,2889,46
74,2892,42
74,3136,4
74,3284,1
74,3285,3
74,3310,1
74,3329,18
74,3330,4
74,3759,21
74,3807,1
75,0,8
75,15,3
75,16,12
75,25,1
75,68,1
75,70,79
75,72,6
75,75,12559
75,135,2
75,136,2
75,437,2
75,440,23
75,445,1
75,459,31
75,460,25
75,470,22
75,472,372
75,474,2
75,477,2
75,485,1
75,562,2
75,563,1
75,692,74
75,1650,11
75,1653,11
75,1656,22
75,1681,4
75,1834,17
75,1835,3
75,1836,1
75,1838,17
75,1839,14
75,1848,1
75,1855,1
75,1856,2
75,1857,2
75,1859,2
75,1860,1
75,2449,5
75,2805,258
75,2812,5
75,2846,90
75,2940,1
75,3140,23
75,3144,17
75,3293,8
75,3296,2
75,3297,2
75,3403,6
75,3818,1
75,3821,45
75,3910,1
75,3914,1
75,3999,56
75,4000,11
75,4248,4
75,4249,82
75,4321,1
76,0,4
76,74,24
76,76,366
76,133,4
76,222,8
76,393,4
76,394,1
76,434,1
76,1755,1
76,1756,1
76,2247,3
76,2344,1
76,2482,46
76,3139,5
79,0,1
79,4,5
79,7,7
79,53,5
79,55,2
79,79,2016
79,80,14
79,82,5
79,295,1
79,334,4
79,335,3
79,471,9
79,480,20
79,603,2
79,608,16
79,846,1
79,856,1
79,1306,7
79,1307,3
79,1326,14
79,1355,1
79,1390,199
79,1391,15
79,1392,43
79,2172,2
79,2173,2
79,2186,1
79,2560,1
79,2836,1
79,3517,1
79,3747,1
80,0,1
80,4,30
80,53,6
80,55,4
80,79,1
80,80,830
80,284,2
80,323,1
80,334,15
80,335,13
80,471,3
80,480,2
80,602,2
80,608,4
80,678,2
80,684,1
80,686,1
80,856,1
80,968,2
80,1390,1
80,1395,2
80,2172,2
80,2173,1
80,2185,1
80,2836,2
80,2959,4
80,3516,49
80,3517,1
80,3747,1
80,3905,1
81,0,8
81,15,11
81,18,1
81,81,6948
81,83,1
81,84,528
81,85,22
81,356,10
81,870,1
81,871,2
81,1681,2
81,1686,1
81,1734,1
81,1736,4
81,1737,6
81,1739,4
81,1796,1
81,1797,3
81,1799,2
81,1804,3
81,1805,4
81,1814,11
81,1815,44
81,1913,8
81,2422,3
81,2476,2
81,2502,1
81,2507,3
81,2508,9
81,2509,4
81,2510,2
81,2526,2
81,2585,2
81,2586,1
81,2679,1
81,2680,2
81,2947,20
81,3025,13
81,3026,2
81,3349,2
81,3411,2
81,3689,1
81,3690,1
81,3894,1
81,3948,3
81,4194,2
82,0,1
82,7,1
82,79,2
82,80,64
82,82,1289
82,104,1
82,105,3
82,604,1
82,860,1
82,1306,1
82,1307,1
82,1326,4
82,1331,1
82,1389,2
82,1390,165
82,1395,1
82,2560,2
82,2671,1
83,0,3
83,15,9
83,81,1
83,83,5061
83,356,14
83,375,2
83,870,1
83,871,2
83,1681,8
83,1686,2
83,1734,2
83,1737,6
83,1739,3
83,1815,2
83,1913,6
83,2407,6
83,2416,1
83,2476,1
83,2525,3
83,2526,2
83,2585,1
83,2586,1
83,2947,484
83,2948,138
83,3025,5
83,3026,3
83,3038,1
83,3411,1
83,3455,1
83,3883,1
83,4194,3
84,13,3
84,15,88
84,16,1
84,18,3
84,83,1
84,84,536
84,85,304
84,87,1
84,375,8
84,870,4
84,871,11
84,1681,35
84,1683,14
84,1686,3
84,1804,1
84,1805,1
84,1806,2
84,1809,2
84,1815,1
84,1913,1
84,2403,5
84,2404,4
84,2405,2
84,2408,8
84,2409,3
84,2413,1
84,2525,28
84,3025,1
85,0,2
85,13,2
85,14,1
85,15,1
85,18,11
85,83,3
85,85,1898
85,167,59
85,375,20
85,501,6
85,2403,18
85,2404,11
85,2408,26
85,2409,13
85,2412,1
85,2413,4
85,2416,4
85,2426,4
85,2427,5
85,2476,1
85,2525,58
85,2526,1
85,2744,137
85,3019,2
85,3020,3
85,3307,2
85,3308,3
85,3414,2
85,3428,2
85,4072,6
85,4329,1
86,15,37
86,83,243
86,86,494
86,870,1
86,871,1
86,1681,10
86,1683,3
86,1806,1
86,2409,1
86,2464,1
86,2525,2
86,3883,1
87,87,3
87,3306,1
87,4330,1
88,88,112
88,90,62
88,1461,3
88,2606,4
89,0,1
89,8,1
89,89,256
89,159,5
89,372,3
89,986,1
89,1416,1
89,1417,2
89,1419,1
89,1420,1
89,1448,1
89,1461,9
89,1462,2
89,1996,1
89,2606,26
89,2971,3
89,4135,4
90,8,99
90,90,382
90,726,1
90,986,9
90,2606,1
90,3210,43
90,4060,8
91,88,1
91,91,115
91,372,1
91,373,1
91,726,1
91,1418,2
91,1419,2
91,1978,1
91,2606,2
91,3210,6
91,4135,4
92,0,1
92,92,3414
92,93,745
92,137,1
92,359,4
92,1743,5
92,4289,1
93,93,2254
93,359,1
93,362,2
93,517,7
93,518,5
93,519,6
93,524,2
93,712,1
93,713,2
93,973,1
93,1743,1
93,2900,1190
93,3928,1
94,2,2
94,94,1348
94,278,19
94,305,84
94,315,12
94,534,1
94,716,2
94,1743,427
94,1744,6
94,2610,1
94,3188,7
94,3498,2
94,3781,2
95,0,1
95,95,791
95,96,60
95,97,33
95,181,13
95,1203,1
95,1234,4
95,1911,32
95,2211,1
95,2212,12
95,2931,105
95,3187,5
95,3478,153
95,3505,5
95,3765,3
95,3769,1
96,96,1270
96,97,3
96,180,175
96,194,1
96,287,1
96,362,1
96,963,1
96,985,1
96,1225,1
96,1911,41
96,2212,2
96,2731,1
96,2907,495
96,2913,478
96,2930,2
96,3187,7
96,3478,1
96,3733,2
96,3769,1
97,0,3
97,95,1
97,97,3587
97,180,2
97,194,1
97,270,3
97,401,6
97,963,6
97,967,5
97,1127,1
97,1754,1
97,1911,223
97,2211,12
97,2658,1
97,2731,29
97,2915,22
97,2930,54
97,3187,2195
97,3189,1
97,3505,6
97,3769,1
97,3771,8
97,4268,1
98,98,1034
98,257,49
98,262,91
98,1744,1
98,1745,10
98,1923,1
98,3188,3
98,3190,61
98,3498,1
99,0,1
99,99,1
100,99,1
100,100,18
100,611,1
101,3,1
